lemma,language_code,status
box n. a1,en,PENDING
boy n. a1,en,PENDING
boyfriend n. a1,en,PENDING
brain n. a2,en,PENDING
branch n. b1,en,PENDING
"brand n., v. b1",en,PENDING
brave adj. b1,en,PENDING
bread n. a1,en,PENDING
"break v., n. a1",en,PENDING
breakfast n. a1,en,PENDING
breast n. b2,en,PENDING
breath n. b1,en,PENDING
breathe v. b1,en,PENDING
breathing n. b1,en,PENDING
bride n. b1,en,PENDING
bridge n. a2,en,PENDING
brief adj. b2,en,PENDING
bright adj. a2,en,PENDING
brilliant adj. a2,en,PENDING
bring v. a1,en,PENDING
broad adj. b2,en,PENDING
"broadcast v., n. b2",en,PENDING
broken adj. a2,en,PENDING
brother n. a1,en,PENDING
"brown adj., n. a1",en,PENDING
"brush v., n. a2",en,PENDING
bubble n. b1,en,PENDING
budget n. b2,en,PENDING
build v. a1,en,PENDING
building n. a1,en,PENDING
bullet n. b2,en,PENDING
bunch n. b2,en,PENDING
"burn v. a2, n. b2",en,PENDING
bury v. b1,en,PENDING
bus n. a1,en,PENDING
bush n. b2,en,PENDING
business n. a1,en,PENDING
businessman n. a2,en,PENDING
busy adj. a1,en,PENDING
"but conj. a1, prep. b2",en,PENDING
butter n. a1,en,PENDING
button n. a2,en,PENDING
buy v. a1,en,PENDING
"by prep. a1, adv. b1",en,PENDING
bye exclam. a1,en,PENDING
cable n. b2,en,PENDING
cafe n. a1,en,PENDING
cake n. a1,en,PENDING
calculate v. b2,en,PENDING
"call v., n. a1",en,PENDING
"calm adj., v., n. b1",en,PENDING
camera n. a1,en,PENDING
"camp n., v. a2",en,PENDING
"campaign n., v. b1",en,PENDING
camping n. a2,en,PENDING
campus n. b1,en,PENDING
can1 modal v. a1,en,PENDING
can2 n. a2,en,PENDING
cancel v. b2,en,PENDING
cancer n. b2,en,PENDING
candidate n. b1,en,PENDING
cannot v. a1,en,PENDING
cap n. b1,en,PENDING
capable adj. b2,en,PENDING
capacity n. b2,en,PENDING
"capital n., adj. a1",en,PENDING
captain n. b1,en,PENDING
"capture v., n. b2",en,PENDING
car n. a1,en,PENDING
card n. a1,en,PENDING
"care n., v. a2",en,PENDING
career n. a1,en,PENDING
careful adj. a2,en,PENDING
carefully adv. a2,en,PENDING
careless adj. b1,en,PENDING
carpet n. a2,en,PENDING
carrot n. a1,en,PENDING
carry v. a1,en,PENDING
cartoon n. a2,en,PENDING
case n. a2,en,PENDING
cash n. a2,en,PENDING
"cast n., v. b2",en,PENDING
castle n. a2,en,PENDING
cat n. a1,en,PENDING
"catch v. a2, n. b2",en,PENDING
category n. b1,en,PENDING
"cause n., v. a2",en,PENDING
cd n. a1,en,PENDING
ceiling n. b1,en,PENDING
celebrate v. a2,en,PENDING
celebration n. b1,en,PENDING
celebrity n. a2,en,PENDING
cell n. b2,en,PENDING
cent n. a1,en,PENDING
central adj. b1,en,PENDING
"centre n. a1, v. b1",en,PENDING
century n. a1,en,PENDING
ceremony n. b1,en,PENDING
certain adj. a2,en,PENDING
certainly adv. a2,en,PENDING
"chain n. b1, v. b2",en,PENDING
"chair n. a1, v. b2",en,PENDING
chairman n. b2,en,PENDING
"challenge n. b1, v. b2",en,PENDING
champion n. b1,en,PENDING
chance n. a2,en,PENDING
"change v., n. a1",en,PENDING
channel n. b1,en,PENDING
chapter n. b1,en,PENDING
character n. a2,en,PENDING
"characteristic n., adj. b2",en,PENDING
"charge n., v. b1",en,PENDING
charity n. a2,en,PENDING
"chart n. a1, v. b2",en,PENDING
"chat v., n. a2",en,PENDING
"cheap adj. a1, adv. b1",en,PENDING
"cheat v., n. b1",en,PENDING
"check v. a1, n. a2",en,PENDING
cheerful adj. b1,en,PENDING
cheese n. a1,en,PENDING
chef n. a2,en,PENDING
"chemical adj., n. b1",en,PENDING
chemistry n. a2,en,PENDING
chest n. b1,en,PENDING
chicken n. a1,en,PENDING
"chief adj., n. b2",en,PENDING
child n. a1,en,PENDING
childhood n. b1,en,PENDING
chip n. a2,en,PENDING
chocolate n. a1,en,PENDING
choice n. a2,en,PENDING
choose v. a1,en,PENDING
church n. a2,en,PENDING
cigarette n. a2,en,PENDING
cinema n. a1,en,PENDING
"circle n., v. a2",en,PENDING
circumstance n. b2,en,PENDING
cite v. b2,en,PENDING
citizen n. b2,en,PENDING
city n. a1,en,PENDING
civil adj. b2,en,PENDING
"claim v., n. b1",en,PENDING
class n. a1,en,PENDING
"classic adj., n. b2",en,PENDING
classical adj. a2,en,PENDING
classroom n. a1,en,PENDING
clause n. b1,en,PENDING
"clean adj., v. a1",en,PENDING
"clear adj. a2, v. b1",en,PENDING
