lemma,language_code,status
"kiclk off sth",en,VALID
"knock down sb",en,VALID
"leap out",en,VALID
"leave off",en,VALID
"leave off sth",en,VALID
"left out",en,VALID
"left out adj",en,VALID
"let down sth",en,VALID
"let in",en,VALID
"let off",en,VALID
"let off sb",en,VALID
"let off steam",en,VALID
"let out",en,VALID
"let out sth",en,VALID
"level off",en,VALID
"level out",en,VALID
"level with sb",en,VALID
"lie about",en,VALID
"lie around",en,VALID
"lift up sth",en,VALID
"light up",en,VALID
"light up sth",en,VALID
"line up sth",en,VALID
"listen out",en,VALID
"listen out for sth",en,VALID
"listen up",en,VALID
"live on",en,VALID
"look back",en,VALID
"loosen up",en,VALID
"medicine in order",en,VALID
"mist over",en,VALID
"mist up",en,VALID
"mop up",en,VALID
"mop up sth",en,VALID
"move away",en,VALID
"move in",en,VALID
"move on",en,VALID
"muck up sth",en,VALID
"mull over sth",en,VALID
"nod off",en,VALID
"nod off informal",en,VALID
"nose about",en,VALID
"nose around",en,VALID
"occur to sb",en,VALID
"open off sth",en,VALID
"open up",en,VALID
"open up sth",en,VALID
"people to listen",en,VALID
"peter out",en,VALID
"phish for sth",en,VALID
"pick at sth",en,VALID
"pick out",en,VALID
"pick out sb",en,VALID
"pick out sth",en,VALID
"pick up",en,VALID
"pick up on sth",en,VALID
"pick up sb",en,VALID
"pick up sth",en,VALID
"pick yourself up",en,VALID
"pile into",en,VALID
"pile into swh",en,VALID
"pile out",en,VALID
"poodle around",en,VALID
"preside over sth",en,VALID
"press on",en,VALID
"prey on sth",en,VALID
"prey upon sth",en,VALID
"print off sth",en,VALID
"prop up sth",en,VALID
"prop yourself up",en,VALID
"provide for sth",en,VALID
"pull down sth",en,VALID
"pull on sth",en,VALID
"pull out",en,VALID
"pull out sth",en,VALID
"pull over",en,VALID
"pull sth to",en,VALID
"pull through",en,VALID
"pull through sth",en,VALID
"pull up",en,VALID
"push on",en,VALID
"push over",en,VALID
"push sth to",en,VALID
"push through sth",en,VALID
"push up sth",en,VALID
"put away sth",en,VALID
"reduce sth to sth",en,VALID
"reel off sth",en,VALID
"reflect upon sth",en,VALID
"relate to sth",en,VALID
"rely on",en,VALID
"rely on sb",en,VALID
"rely on sth",en,VALID
"rent out sth",en,VALID
"resign yourself to sth",en,VALID
"result in sth",en,VALID
"rev up sth",en,VALID
"ride on sth",en,VALID
"ring out",en,VALID
"roll about",en,VALID
"roll around",en,VALID
"roll in",en,VALID
"roll on",en,VALID
"roll on sth",en,VALID
"roll out sth",en,VALID
"roll over",en,VALID
"roll up sth",en,VALID
"round down sth",en,VALID
"screw up sb",en,VALID
"screw up sth",en,VALID
"scroll down",en,VALID
"scroll up",en,VALID
"see about sth",en,VALID
"see sth through",en,VALID
"seize up",en,VALID
"sell up",en,VALID
"sell up sth",en,VALID
"send down sb",en,VALID
"send in sb",en,VALID
"send out",en,VALID
"send out for sth",en,VALID
"send out sth",en,VALID
"serve up sth",en,VALID
"set back",en,VALID
"set back sb",en,VALID
"set back sth",en,VALID
"set in",en,VALID
"set off sth",en,VALID
"set on sb",en,VALID
"set up",en,VALID
"set up sth",en,VALID
"set upon sb",en,VALID
"shut down",en,VALID
"shut out sth",en,VALID
"shut up",en,VALID
"side with sb",en,VALID
"sift through sth",en,VALID
"sign over sth",en,VALID
"sign up sb",en,VALID
"single out",en,VALID
"single out sb",en,VALID
"single out sth",en,VALID
"size up",en,VALID
"skill up sb",en,VALID
"skim through sth",en,VALID
"skirt around sth",en,VALID
"skirt round sth",en,VALID
"slam down sth",en,VALID
"sleep off sth",en,VALID
"slice up sth",en,VALID
"slim down",en,VALID
"slim down sth",en,VALID
"slip away",en,VALID
"slog away",en,VALID
"slog away informal",en,VALID
"smarten up",en,VALID
"smarten up sb",en,VALID
"smarten up sth",en,VALID
"smash up sth",en,VALID
"smooth down sth",en,VALID
"smooth over sth",en,VALID
"snap out",en,VALID
"snap out of sth",en,VALID
"somebody out",en,VALID
"someone in",en,VALID
"something down",en,VALID
"something for",en,VALID
"something into",en,VALID
"something to sell",en,VALID
"something with",en,VALID
"spill out",en,VALID
"split up",en,VALID
"sray in",en,VALID
"stack up",en,VALID
"stake out sth",en,VALID
"stamp on sth",en,VALID
"stand back",en,VALID
"stand by",en,VALID
"stand for sth",en,VALID
"stand up",en,VALID
"start on",en,VALID
"start sb off",en,VALID
"steal away",en,VALID
"steam up",en,VALID
"steam up sth",en,VALID
"stick by sth",en,VALID
"stick out sth",en,VALID
"stick to sth",en,VALID
"stick up",en,VALID
"strong in",en,VALID
"strong in order",en,VALID
"swing around",en,VALID
"swing round",en,VALID
"switch around",en,VALID
"switch off",en,VALID
"switch round",en,VALID
"tail off",en,VALID
"take away",en,VALID
"take away from sth",en,VALID
"take away sb",en,VALID
"take away sth",en,VALID
"take down sth",en,VALID
"take off",en,VALID
"take off sth",en,VALID
"take on sth",en,VALID
"take out sb",en,VALID
"take out sth",en,VALID
"take over sth",en,VALID
"talk about",en,VALID
"think about",en,VALID
"thinking about",en,VALID
"tie sb down",en,VALID
"tighten up sth",en,VALID
"tinker with sth",en,VALID
"tire out sb",en,VALID
"top up",en,VALID
"toss for sth",en,VALID
"toughen up",en,VALID
"toughen up sth",en,VALID
"trail off",en,VALID
"treat sb to sth",en,VALID
"trip over",en,VALID
"trip over sth",en,VALID
"tune into sth",en,VALID
"turn around",en,VALID
"turn around sb",en,VALID
"turn around sth",en,VALID
"turn away sb",en,VALID
"turn down sth",en,VALID
"turn out sth",en,VALID
"turn over sth",en,VALID
"turn round",en,VALID
"turn round sb",en,VALID
"turn round sth",en,VALID
"unhappy about",en,VALID
"want in",en,VALID
"warm up",en,VALID
"warm up sth",en,VALID
"wash down sth",en,VALID
"washed out",en,VALID
"washed out adj",en,VALID
"waste away",en,VALID
"watch over",en,VALID
"watch over sb",en,VALID
"watch over sth",en,VALID
"water down sth",en,VALID
"way in order",en,VALID
"wear out",en,VALID
"wear out sb",en,VALID
"wear out sth",en,VALID
"whip up sth",en,VALID
"whittle away sth",en,VALID
"win back",en,VALID
"win back sb",en,VALID
"win back sth",en,VALID
"win out",en,VALID
"win through",en,VALID
"wind up",en,VALID
"wind up sth",en,VALID
"wipe out sb",en,VALID
"wipe out sth",en,VALID
"wolf down sth",en,VALID
"work around sth",en,VALID
"work round sth",en,VALID
"wrap up sth",en,VALID
"write up",en,VALID
"write up sth",en,VALID
"yell out",en,VALID
"yell out sth",en,VALID
"yell sth out",en,VALID
"zip sth up",en,VALID
"zip up",en,VALID
"zip up sth",en,VALID
"zone out",en,VALID
